TÍTULO AUTOR GÉNERO AÑO
El jinete polaco Muñoz Molina, A. Narrativa 2001
Lolita Nabokov, U. Clásico 1984
Vida de una geisha Nakamura, K. Autobiografía 2002
Historia de un canalla Navarro, J. Narrativa 2016
La hermandad de la Sábana Santa Navarro, J. Aventuras 2004
La Biblia de barro Navarro, J. Novela negra 2005
Residencia en la tierra Neruda, P. Clásico 1984
 Pablo Neruda para niños Neruda, P. Poesía 2001
Un monstruo viene a verme Ness, P. Fantástico 2011
El círculo mágico Neville, K. Misterio 2000
Sueños de mujer Nicolson, C. Romántico 1985
Operación Mauricio O´Brian, P. Histórica 2000
Los adioses Onetti, J. C. Clásico 1984
Juntacadáveres Onetti, J. C. Clásico 1984
El astillero Onetti, J. C. Narrativa 1986
La biblioteca en llamas Orlean, S. Ensayo 2018
La prisionera Oufkir, M. Biografía 2002
Los ojos amarillos de los cocodrilos Pancol, K. Ficción 2006
Eldest Paolini, Ch. Fantástico 2005
Eragon Paolini, Ch. Fantástico 2004
Segunda oportunidad Parsons, J. Thriller 2001
La tabla de Flandes Pérez-Reverte, A. Misterio 1990
El Club Dumas Pérez-Reverte, A. Misterio 1993
El maestro de esgrima Pérez-Reverte, A. Narrativa 2001
Sidi Pérez-Reverte, A. Histórica 2019
El médico de Córdoba Porrier Le, H. Histórica 1999
Al final del verano Pilcher, R. Narrativa 2001
La casa vacía Pilcher, R. Romántico 2001
Los buscadores de conchas Pilcher, R. Ficción 1989
El difunto Matías Pascal Pirandello, L. Clásico 1984
Narraciones extraordinarias y cuentos Poe, E. A. Terror 2001
Qué es la PNL Porcel, C. Autoayuda 2000
Balada del Pacífico Sur Poveda, C. Aventuras 2013
Yo, Julia Posteguillo, S. Histórica 2018
Crónica de pobres amantes Pratolini, V. Clásico 1984
A la hora en que cierran los bares Puértolas, S. Cuentos 1998
El Padrino Puzo, M. Suspense 1989
El último Don Puzo, M. Suspense 2004
Pequeña Filosofía nocturna Rambert, C. Filosofía 2006
Las nueve revelaciones Redfield, J. Aventuras 1993
El guardián invisible Redondo, D. Misterio 2012
Legado de los huesos Redondo, D. Misterio 2013
Ofrenda a la tormenta Redondo, D. Misterio 2014
La canción de Dorotea Regás, R. Narrativa 2001
Hijo de hombre Roa Bastos, A. Clásico 1984
El nombre del viento Rothfuss, P. Fantástico 2009
Harry Potter y el cáliz de fuego Rowling, J.K. Fantástico 2000
Rojo Brasil Rufin, J. Ch. Histórica 2002
La sombra del viento Ruiz Zafón, C. Misterio 2001
El laberinto de los espíritus Ruiz Zafón, C. Misterio 2016
El príncipe de la niebla Ruiz Zafón, C. Juvenil 1993
Pedro Páramo Rulfo, J. Narrativa 2001
El túnel Sabato, E. Clásico 1984
Sobre héroes y tumbas Sabato, E. Clásico 1984
Buenos días, tristeza Sagan, F. Ficción 1985
Sandokán Salgari, E. Juvenil 1997
Antología poética Salinas, P. Clásico 1984
La sonrisa Etrusca Sampedro, J.L. Ficción 1985
El anticuario Sánchez, J. Misterio 2009
Tierra de mujeres Sánchez, M. Ensayo 2019
Los milagros del vino Sánchez Adalid, J. Histórica 2010
El jarama Sánchez Ferlosio, R. Ficción 1993
Industrias y andanzas de Alfanhuí Sánchez Ferlosio, R. Narrativa 2001
La piel fría Sánchez Piñol, A. Terror 2002
El último deseo Sapkowski, A. Fantástico 1993
La náusea Sartre, J.P. Clásico 1984
Sultana y Las cadenas de Sultana Sasson, J. Biografía 2002
El jardín de las dudas Savater, F. Ficción 2002
El engaño de Beth Loring Schwartz, F. Narrativa 2002
Los amnésicos Schwarz, G. Histórica 2019
El archivo de Egipto Sciascia, L. Clásico 1984
Afortunada Sebold, A. Autobiografía 2004
Réquiem por un campesino español Sender, R. J. Narrativa 2001
Lucharon por la patria Shólojov, M. Clásico 1984
La Dama azul Sierra, J. Ficción 1998
Castellano Silva, L. Histórica 2021
Un amigo de Kafka Singer, I. Clásico 1984
El cartero de Neruda Skármeta, A. Narrativa 2001
Un árbol crece en Brooklyn Smith, B. Narrativa 1993
La casa de Matriona Solzhenitsin, A. Clásico 1984
Archipiélago Gulag I y II Solzhenitsin, A. Autobiografía 2002
Servidumbre humana Somerset, W. Clásico 1984
La boda Steel, D. Ficción 1997
Malicia Steel, D. Romántico 1998
Cuando late el corazón Steel, D. Romántico 1991
Fiel a sí misma Steel, D. Ficción 2010
La luna se ha puesto Steinbeck, J. Clásico 1984
La desaparición de Edith Hind Steiner, S. Policíaca 2018
La isla del tesoro Stevenson, R.L. Juvenil 1990
El guardián de los Arcanos Sussman, P. Suspense 2005
Donde el corazón te lleve Tamaro, S. Narrativa 1987
Ana Karenina Tolstoi, L. Romántico 1990
El gatopardo Tomasi de Lampedusa, G. Clásico 1984
El cuento de Sirena Torrente Ballester, G. Ficción 1998
Los gozos y las sombras Torrente Ballester, G. Narrativa 2001
El diario secreto de Adrian Mole Townsend, S. Juvenil 2004
Trinidad Uris, L. Narrativa 1978
La tía Tula Unamuno de, M. Narrativa 2001
Tratado de las buenas maneras Ussía, A. Humorística 1992
Diario de una anoréxica Valére, V. Autoayuda 2002
La hechicera Van Lustbader, E. Narrativa 1986
La ciudad y los perros Vargas Llosa, M. Narrativa 1979
La casa verde Vargas Llosa, M. Clásico 1984
Lituma en los Andes Vargas Llosa, M. Narrativa 2001
Cuentos solidarios Varios autores Cuentos 1999
Manaos Vázquez-Figueroa, A. Narrativa 1975
Tuareg Vázquez-Figueroa, A. Narrativa 1980
Océano Vázquez-Figueroa, A. Narrativa 1984
Marfil Vázquez-Figueroa, A. Narrativa 1985
El perro Vázquez-Figueroa, A. Narrativa 1989
Delfines Vázquez-Figueroa, A. Narrativa 2001
León Bocanegra Vázquez-Figueroa, A. Narrativa 1999
El agua prometida Vázquez-Figueroa, A. Narrativa 1996
Galápagos Vázquez-Figueroa, A. Narrativa 1984
Xaraguá Vázquez-Figueroa, A. Narrativa 1993
Tierra de bisontes Vázquez-Figueroa, A. Narrativa 2006
Cienfuegos, Caribes y Azabache Vázquez-Figueroa, A. Aventuras 2000
Sultana roja-La brasa y La llama Vázquez-Figueroa, A. Narrativa 2000
Los mares del Sur Vázquez Montalbán, M. Narrativa 2001
La rosa de Alejandría Vázquez Montalbán, M. Narrativa 2001
Sé lo que estás pensando Verdon, J. Misterio 2010
Las tribulaciones de un chino en China Verne, J. Juvenil 1986
La jangada Verne, J. Juvenil 1987
El libro de las perversiones Villena de, L.A. Ensayo 1992
Sinuhé el Egipcio Waltari, M. Aventuras 1989
La forja Weis, M. Fantástico 1988
El navegante West, M. Aventuras 1984
La edad de la inocencia Wharton, E. Narrativa 1984
El retrato de Dorian Grey Wilde, O. Misterio 1987
Oveja mansa Willis, C. Fantástico 2006
La adivina Wood, B. Narrativa 2012
La estrella de Babilonia Wood, B. Narrativa 2006
Tierra sagrada Wood, B. Romántico 2000
La sal de la tierra Wolf, D. Aventuras 2015
Al faro Woolf, V. Clásico 1984
Nacer mujer en China Xue, X. Biografía 2003
La maestra de piano Y.K.Le, Janice Narrativa 2009
